customer_id,merchant_id,payment_success_rate,payment_failure_rate,avg_payment_delay,subscription_age_months,lifetime_value,avg_order_value,days_since_last_activity,history_payment_count
cust_syn_0001,acc_syn_training,0.3750,0.6250,66.76,0,6492.42,2164.14,35,8
cust_syn_0002,acc_syn_training,0.8519,0.1481,64.36,0,100635.81,4375.47,35,27
cust_syn_0003,acc_syn_training,0.6452,0.3548,16.72,0,16043.40,802.17,25,31
cust_syn_0004,acc_syn_training,0.8571,0.1429,14.79,0,20254.80,843.95,0,28
cust_syn_0005,acc_syn_training,0.7500,0.2500,55.20,0,54051.84,2252.16,25,32
cust_syn_0006,acc_syn_training,0.5926,0.4074,20.62,0,7964.64,497.79,13,27
cust_syn_0007,acc_syn_training,0.5000,0.5000,12.03,0,33200.30,3320.03,40,20
cust_syn_0008,acc_syn_training,0.5909,0.4091,65.46,1,56394.91,4338.07,31,22
cust_syn_0009,acc_syn_training,0.6667,0.3333,41.91,0,15540.56,1110.04,24,21
cust_syn_0010,acc_syn_training,0.5455,0.4545,35.82,0,2561.16,426.86,14,11
cust_syn_0011,acc_syn_training,0.8214,0.1786,56.47,0,99449.24,4323.88,2,28
cust_syn_0012,acc_syn_training,0.7143,0.2857,59.58,0,1709.25,341.85,40,7
cust_syn_0013,acc_syn_training,0.5652,0.4348,3.17,0,53859.65,4143.05,6,23
cust_syn_0014,acc_syn_training,0.7083,0.2917,3.71,0,16142.86,949.58,19,24
cust_syn_0015,acc_syn_training,0.6316,0.3684,53.90,0,44113.20,1838.05,17,38
cust_syn_0016,acc_syn_training,0.2857,0.7143,69.99,0,14215.88,3553.97,22,14
cust_syn_0017,acc_syn_training,0.6500,0.3500,51.65,0,14287.65,1099.05,3,20
cust_syn_0018,acc_syn_training,0.5667,0.4333,2.28,1,71067.48,4180.44,24,30
cust_syn_0019,acc_syn_training,0.5000,0.5000,8.30,0,17926.20,3585.24,12,10
cust_syn_0020,acc_syn_training,0.5882,0.4118,32.95,0,78736.80,3936.84,11,34
cust_syn_0021,acc_syn_training,0.2143,0.7857,12.34,0,2584.38,861.46,7,14
cust_syn_0022,acc_syn_training,0.6429,0.3571,36.57,0,14413.14,1601.46,39,14
cust_syn_0023,acc_syn_training,0.3438,0.6563,60.09,0,27235.45,2475.95,4,32
cust_syn_0024,acc_syn_training,0.5000,0.5000,38.83,0,2465.55,821.85,23,6
cust_syn_0025,acc_syn_training,0.2632,0.7368,23.92,0,18119.30,1811.93,19,38
cust_syn_0026,acc_syn_training,0.3333,0.6667,38.59,1,22012.02,3668.67,28,18
cust_syn_0027,acc_syn_training,0.5714,0.4286,10.32,0,2436.40,609.10,43,7
cust_syn_0028,acc_syn_training,0.4737,0.5263,40.89,0,17603.82,977.99,25,38
cust_syn_0029,acc_syn_training,0.6190,0.3810,48.49,0,26378.17,2029.09,32,21
cust_syn_0030,acc_syn_training,0.6250,0.3750,52.67,0,18791.10,1879.11,24,16
cust_syn_0031,acc_syn_training,0.6579,0.3421,42.56,0,73939.00,2957.56,1,38
cust_syn_0032,acc_syn_training,0.8621,0.1379,71.79,0,18000.00,720.00,39,29
cust_syn_0033,acc_syn_training,0.6786,0.3214,65.61,0,67473.94,3551.26,13,28
cust_syn_0034,acc_syn_training,0.4815,0.5185,55.71,0,54510.69,4193.13,31,27
cust_syn_0035,acc_syn_training,0.6364,0.3636,51.26,0,22479.03,1070.43,23,33
cust_syn_0036,acc_syn_training,0.6410,0.3590,33.29,1,110378.00,4415.12,35,39
cust_syn_0037,acc_syn_training,0.4615,0.5385,29.39,1,5285.22,880.87,41,13
cust_syn_0038,acc_syn_training,0.7619,0.2381,42.56,0,18798.72,1174.92,14,21
cust_syn_0039,acc_syn_training,0.4595,0.5405,39.76,0,27096.47,1593.91,8,37
